URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
blackassign0002,http://example.com,0,0,0.0,0.0,25.24468085106383,26.548672566371685,20.717341366974207,25.24468085106383,630,2373,1.88621997471555,30,5.708807416772019
blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,0,0,0.0,0.0,23.544444444444444,20.906087777253425,17.78021288867915,23.544444444444444,443,2119,1.7163756488909865,35,5.271826333176026
blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,0,0,0.0,0.0,25.591397849462364,26.42857142857143,20.80798771121352,25.591397849462364,629,2380,1.884033613445378,30,5.707142857142857
blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,0,0,0.0,0.0,28.40579710144928,32.44897959183673,24.3419106773144,28.40579710144928,636,1960,2.0316326530612243,37,6.14030612244898
blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,0,0,0.0,0.0,30.4375,31.416837782340863,24.741735112936347,30.4375,612,1948,1.9969199178644763,29,6.057494866529774
blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,0,0,0.0,0.0,23.544444444444444,20.906087777253425,17.78021288867915,23.544444444444444,443,2119,1.7163756488909865,35,5.271826333176026
blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,0,0,0.0,0.0,25.591397849462364,26.42857142857143,20.80798771121352,25.591397849462364,629,2380,1.884033613445378,30,5.707142857142857
blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,0,0,0.0,0.0,28.40579710144928,32.44897959183673,24.3419106773144,28.40579710144928,636,1960,2.0316326530612243,37,6.14030612244898
blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,0,0,0.0,0.0,30.4375,31.416837782340863,24.741735112936347,30.4375,612,1948,1.9969199178644763,29,6.057494866529774
blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,0,0,0.0,0.0,29.185185185185187,26.77664974619289,22.38473397255123,29.185185185185187,422,1576,1.8686548223350248,30,5.831218274111675
blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,0,0,0.0,0.0,26.640776699029125,29.227405247813408,22.34727277873701,26.640776699029125,802,2744,1.9431486880466475,30,5.998177842565598
blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,0,0,0.0,0.0,25.057471264367816,26.330275229357795,20.555098597490247,25.057471264367816,574,2180,1.86697247706422,25,5.641284403669725
blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,0,0,0.0,0.0,28.24137931034483,33.88278388278388,24.84966527725149,28.24137931034483,555,1638,2.087912087912088,27,6.2905982905982905
blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,0,0,0.0,0.0,25.943661971830984,33.33333333333333,23.710798122065725,25.943661971830984,614,1842,2.0640608034744843,27,6.212812160694897
blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,0,0,0.0,0.0,17.87890625,26.43653047847935,17.726174691391744,17.87890625,1210,4577,1.8193139611098967,37,5.5090670745029495
blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,0,0,0.0,0.0,28.77777777777778,30.501930501930502,23.711883311883312,28.77777777777778,711,2331,1.9613899613899608,27,5.976833976833976
blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,0,0,0.0,0.0,28.741573033707866,26.42689601250977,22.067387618487057,28.741573033707866,676,2558,1.9061767005473025,26,5.799843627834245
blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,0,0,0.0,0.0,41.44444444444444,29.423592493297583,28.347214775096816,41.44444444444444,439,1492,1.926943699731904,27,5.861930294906166
blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,0,0,0.0,0.0,25.39743589743589,27.30943967693084,21.082750229746694,25.39743589743589,541,1981,1.8637051993942453,28,5.720343260979304
